ACTION,GOTO
ClosureId,!=,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,Expressions1q,Identifier,dig,else,idt,if,int,return,void,while,{,},#,ActualParameterList,ActualParameters,AdditiveExpression,AssignmentStatement,Expression,Expressions,FTYPE,Factor,FormalParameters,FunctionCall,IfStatement,InternalDeclaration,InternalVariableDeclaration,OperatorFactor,OperatorTerm,Parameter,ParameterList,Parameters,Program,RelopAdditiveExpression,ReturnStatement,Start,Statement,StatementBlock,StatementSequence,Term,Type,WhileStatement,relop
124,r46,,r46,r46,r46,,r46,r46,,r46,r46,,r46,r46,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,s55,,,,,,,,,,,,,,,s59,s61,,,,,,,,,,,,,,,,,,159,,,,,,,,,,,,,,,,,,,,,
126,,s55,,,,,,,,,,,,,,,s59,s61,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,
127,r55,,r55,r55,r55,,r55,r55,,r55,r55,,r55,r55,r55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,s161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,r39,,r39,,r39,,r39,,,r39,r39,,r39,r39,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,r40,,r40,,r40,,r40,,,r40,r40,,r40,r40,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,s55,,,,,,,,,,,,,,,s59,s61,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,162,,,
132,,s55,,,,,,,,,,,,,,,s59,s61,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,163,,,
133,r30,,,,,,,,r30,r30,r30,,r30,r30,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,r47,,,r47,r47,,r47,r47,r47,r47,r47,,r47,r47,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,r48,,,r48,r48,,r48,r48,r48,r48,r48,,r48,r48,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,s164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,r54,,,r54,r54,,r54,r54,r54,r54,r54,,r54,r54,r54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,s63,,,,,r28,,,,s64,s65,,s66,s67,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165
139,,s103,,,,,,,,,,,,,,,s110,s112,,,,,,,,,,,,,166,,,,,109,,,,,,,,,,,,,,,,,,111,,,
140,,,,,,,,,,,,,,,,,,,,,,s168,,,,,,,,,,,,,,,,,,,,,,167,,,,,,,,,,,,,
141,,,r57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,s103,,,,,,,,,,,,,,,s110,s112,,,,,,,,,,,,,,,,,,169,,,,,,,,,,,,,,,,,,,,,
143,,s103,,,,,,,,,,,,,,,s110,s112,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,
144,r44,,,s171,r44,r44,r44,s172,,r44,r44,,r44,r44,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,s103,s173,,,,,,,,,,,,,,s110,s112,,,,,,,,,,,105,174,107,,108,,,109,,,,,,,,,,,,,,,,,,111,,,
146,r52,,,r52,r52,r52,r52,r52,,r52,r52,,r52,r52,r52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,r53,,,r53,r53,r53,r53,r53,,r53,r53,,r53,r53,r53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,s103,,,,,,,,,,,,,,,s110,s112,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,,175,,,
149,,s103,,,,,,,,,,,,,,,s110,s112,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,,176,,,
150,r38,,,,s177,r38,s178,,,r38,r38,,r38,r38,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,r41,,,,r41,,r41,,r41,r41,r41,,r41,r41,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,r42,,,,r42,,r42,,r42,r42,r42,,r42,r42,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,r23,r23,,r23,,r23,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,s29,s30,s31,s32,,s33,,,,,,,20,,,,,,,21,179,23,,,24,,,,,25,,26,,180,,,28,
155,r30,,r30,,,,,,,r30,r30,,r30,r30,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,s154,,,,,,,,,,,,,,,,,,,,,,,,,,181,,,,,
157,,,,,,,,,,,,,,,,,,,,s29,s30,,s32,,s33,,,,,,,20,,,,,,,21,,,,,,,,,,25,,26,,182,,,28,
158,,,,,,,,,,,,,,,,,,,,s29,s30,,s32,,s33,,s183,,,,,20,,,,,,,21,,,,,,,,,,25,,39,,,,,28,
159,r47,,r47,r47,r47,,r47,r47,,r47,r47,,r47,r47,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,r48,,r48,r48,r48,,r48,r48,,r48,r48,,r48,r48,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
